RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,delinquency,TotalNetFraction,NumInstallment,TradeFrequency
Bad,84,204,3,91,22,0,100,7,8,22,1,32,0.0,2,70,85,3,3,2,55,0.2145922746781116,0.0,155,3.0,0.045454545454545456
Bad,68,207,2,86,30,0,94,4,6,57,3,16,,2,19,51,3,2,0,36,0.398406374501992,29.21999999999997,70,2.0,0.05263157894736842
Good,90,320,8,85,8,0,100,7,8,8,1,25,12.0,0,2,46,2,2,0,67,0.2145922746781116,0.0,48,2.0,0.125
Good,84,128,3,48,23,0,100,7,8,23,3,30,0.0,1,14,99,4,3,0,64,0.2145922746781116,0.0,113,3.0,0.13043478260869565
Good,74,229,7,72,26,0,92,6,6,28,2,27,,3,17,85,2,3,0,45,0.398406374501992,38.95999999999998,102,3.0,0.07142857142857142
Bad,83,262,19,135,36,0,100,7,8,37,0,27,19.0,0,38,47,11,2,1,76,0.2145922746781116,0.0,85,2.0,0.0
Bad,63,31,8,110,12,0,92,4,6,1,2,42,7.0,0,84,74,2,2,2,67,0.398406374501992,38.95999999999998,158,2.0,2.0
Good,84,188,12,78,30,0,100,7,8,30,0,21,2.0,1,0,46,1,2,1,75,0.2145922746781116,0.0,46,2.0,0.0
Bad,63,66,9,52,3,1,75,4,6,4,1,75,,1,71,132,1,1,0,100,0.398406374501992,121.75,203,1.0,0.5
Good,80,169,3,71,16,0,100,7,8,16,2,13,0.0,0,33,46,3,1,1,50,0.2145922746781116,0.0,79,1.0,0.125
Bad,66,68,5,58,27,1,93,6,6,5,3,30,,2,24,18,5,3,0,60,0.398406374501992,34.089999999999975,42,3.0,0.8
Bad,62,219,8,49,26,1,93,6,2,21,3,22,2.0,1,55,65,7,3,3,56,1.36986301369863,34.089999999999975,120,3.0,0.19047619047619047
Good,77,154,9,63,27,0,96,4,6,27,1,63,0.0,2,1,80,1,5,0,60,0.398406374501992,19.480000000000018,81,5.0,0.037037037037037035
Good,85,197,4,81,26,0,100,7,8,26,3,19,,3,4,6,2,2,0,29,0.2145922746781116,0.0,10,2.0,0.11538461538461539
Bad,63,291,9,88,25,0,84,4,6,25,2,32,0.0,0,30,73,7,2,1,82,0.398406374501992,77.92000000000002,103,2.0,0.08
Good,77,473,4,86,40,0,100,7,8,46,7,10,3.0,1,14,30,9,2,0,55,0.2145922746781116,0.0,44,2.0,0.15217391304347827
Good,73,238,2,101,44,1,87,4,2,50,2,13,0.0,2,5,46,4,1,0,29,1.36986301369863,63.31,51,1.0,0.06
Bad,77,61,2,33,14,0,100,7,8,15,1,7,21.0,0,27,46,4,1,0,56,0.2145922746781116,0.0,73,1.0,0.06666666666666667
Good,89,302,28,137,22,0,100,7,8,22,0,0,,0,3,46,4,2,0,50,0.2145922746781116,0.0,49,2.0,0.0
Bad,66,162,9,51,21,1,86,6,2,22,1,45,1.0,6,32,76,5,2,0,64,1.36986301369863,68.18,108,2.0,0.09090909090909091
Good,77,148,27,96,13,0,100,7,8,14,0,50,0.0,2,75,46,1,1,0,100,0.2145922746781116,0.0,121,1.0,0.0
Bad,62,250,14,139,38,0,90,4,5,41,0,24,,0,62,46,9,1,3,83,1.0752688172043012,48.69999999999999,108,1.0,0.0
Good,91,179,7,97,19,0,100,7,8,0,1,47,,1,0,46,2,1,0,75,0.2145922746781116,0.0,46,1.0,
Good,86,377,22,143,11,0,100,7,8,11,0,0,0.0,0,21,46,3,2,0,100,0.2145922746781116,0.0,67,2.0,0.0
Good,72,198,2,55,30,0,100,7,8,31,3,45,0.0,1,37,87,4,4,2,67,0.2145922746781116,0.0,124,4.0,0.0967741935483871
Good,76,24,8,12,12,0,100,7,8,12,7,25,0.0,0,9,46,2,2,0,50,0.2145922746781116,0.0,55,2.0,0.5833333333333334
Good,87,228,3,68,31,0,100,7,8,31,3,29,0.0,3,0,98,1,2,0,33,0.2145922746781116,0.0,98,1.9999999999999998,0.0967741935483871
Bad,66,46,4,78,51,0,98,4,6,3,4,68,1.0,3,32,35,6,4,0,91,0.398406374501992,9.740000000000009,67,4.0,1.3333333333333333
Bad,59,224,17,122,13,2,58,2,2,33,0,32,,0,55,47,4,4,0,62,1.36986301369863,204.54000000000002,102,4.0,0.06060606060606061
Good,77,251,29,111,23,1,89,6,5,27,0,56,0.0,1,2,42,3,2,0,63,1.0752688172043012,53.56999999999999,44,2.0,0.037037037037037035
Bad,70,278,11,87,16,0,94,6,5,31,1,18,,1,74,66,7,3,3,100,1.0752688172043012,29.21999999999997,140,3.0,0.03225806451612903
Good,65,268,2,77,40,1,98,6,2,42,6,24,3.0,1,62,60,7,3,3,83,1.36986301369863,9.740000000000009,122,3.0,0.16666666666666666
Good,77,210,6,85,36,0,100,7,8,39,1,19,,1,30,53,3,2,1,31,0.2145922746781116,0.0,83,2.0,0.02564102564102564
Good,79,288,4,79,44,0,100,7,8,47,4,28,11.0,0,27,93,7,2,1,53,0.2145922746781116,0.0,120,2.0,0.0851063829787234
Bad,78,263,1,116,14,0,100,7,8,16,3,19,0.0,14,45,46,4,2,2,40,0.2145922746781116,0.0,91,2.0,0.1875
Bad,62,58,3,18,4,0,100,7,8,4,3,25,2.0,6,99,97,3,1,1,100,0.2145922746781116,0.0,196,1.0,0.75
Good,72,349,8,142,32,0,82,6,6,34,2,26,0.0,1,1,57,1,4,0,30,0.398406374501992,87.65999999999997,58,4.0,0.058823529411764705
Good,80,226,10,77,31,0,100,7,8,31,2,16,9.0,1,19,12,2,2,0,40,0.2145922746781116,0.0,31,2.0,0.06451612903225806
Bad,91,449,4,149,11,0,100,7,8,11,2,9,0.0,0,0,46,1,1,0,25,0.2145922746781116,0.0,46,1.0,0.18181818181818182
Bad,85,231,4,77,14,0,93,6,5,15,1,20,0.0,0,0,59,1,1,0,38,1.0752688172043012,34.089999999999975,59,1.0,0.06666666666666667
Good,70,433,17,139,35,0,97,6,6,35,0,26,0.0,0,53,66,10,2,4,60,0.398406374501992,14.610000000000014,119,2.0,0.0
Bad,57,360,6,124,40,0,93,3,5,44,2,25,7.0,0,60,39,9,3,1,86,1.0752688172043012,34.089999999999975,99,3.0,0.045454545454545456
Good,81,220,2,91,20,0,100,7,8,23,2,39,,2,36,46,3,1,1,67,0.2145922746781116,0.0,82,1.0,0.08695652173913043
Bad,86,317,17,95,12,0,92,6,6,13,0,0,0.0,0,7,46,3,2,0,80,0.398406374501992,38.95999999999998,53,2.0,0.0
Bad,59,361,6,103,22,0,87,6,6,24,3,17,0.0,5,70,85,9,2,4,79,0.398406374501992,63.31,155,2.0,0.125
Bad,79,41,1,15,6,0,100,7,8,8,2,25,0.0,2,1,64,1,2,0,38,0.2145922746781116,0.0,65,2.0,0.25
Bad,70,252,3,73,20,2,88,6,3,24,4,67,2.0,1,16,93,3,2,0,63,3.571428571428571,58.44,109,2.0,0.25
Good,77,177,1,59,41,0,100,7,8,43,6,9,0.0,3,3,46,8,1,1,33,0.2145922746781116,0.0,49,1.0,0.13953488372093023
Bad,55,116,3,53,12,1,75,6,2,16,2,38,0.0,2,97,73,6,4,4,100,1.36986301369863,121.75,170,4.0,0.1875
Good,80,95,30,65,5,0,80,6,6,5,0,60,0.0,0,2,57,1,1,0,67,0.398406374501992,97.39999999999998,59,1.0,0.0
Good,78,239,0,92,28,0,97,4,6,20,4,13,0.0,2,2,46,4,1,0,36,0.398406374501992,14.610000000000014,48,1.0,0.2
Bad,64,278,16,196,34,1,81,4,4,36,0,17,,0,88,46,16,1,3,95,3.7037037037037033,92.52999999999997,134,1.0,0.027777777777777776
Good,77,100,5,38,15,0,93,6,6,15,1,27,0.0,6,10,46,3,1,0,57,0.398406374501992,34.089999999999975,56,1.0,0.06666666666666667
Good,56,217,14,101,29,1,60,4,4,31,0,23,0.0,2,93,26,9,5,5,100,3.7037037037037033,194.8,119,5.0,0.03225806451612903
Bad,70,217,0,80,29,1,97,0,2,33,2,29,1.0,1,55,10,9,3,1,86,1.36986301369863,14.610000000000014,65,3.0,0.09090909090909091
Good,77,260,4,97,29,0,97,6,6,30,2,13,0.0,0,36,46,3,2,0,33,0.398406374501992,14.610000000000014,82,2.0,0.06666666666666667
Good,71,193,37,105,9,0,78,4,6,9,0,44,0.0,0,39,12,2,2,0,67,0.398406374501992,107.13999999999999,51,2.0,0.0
Bad,79,409,16,127,16,1,94,6,4,17,0,29,0.0,0,49,46,2,2,0,33,3.7037037037037033,29.21999999999997,95,2.0,0.058823529411764705
Good,78,151,4,78,21,0,95,6,6,21,3,19,0.0,0,14,89,5,2,1,70,0.398406374501992,24.349999999999966,103,2.0,0.14285714285714285
Bad,71,158,1,75,31,1,88,6,3,34,1,32,0.0,1,71,5,3,2,2,29,3.571428571428571,58.44,76,2.0,0.058823529411764705
Bad,76,14,2,10,2,0,100,7,8,3,1,67,0.0,0,31,88,1,2,0,100,0.2145922746781116,0.0,119,2.0,0.3333333333333333
Good,77,157,33,82,17,1,94,6,2,18,0,33,14.0,0,2,46,4,2,0,50,1.36986301369863,29.21999999999997,48,2.0,0.05555555555555555
Good,73,261,8,101,14,0,82,4,5,17,2,29,,0,18,46,3,2,0,56,1.0752688172043012,87.65999999999997,64,2.0,0.11764705882352941
Bad,72,377,5,185,32,0,91,6,6,32,1,28,4.0,1,24,46,8,1,2,53,0.398406374501992,43.829999999999984,70,1.0,0.03125
Bad,70,88,7,42,14,1,93,6,2,16,2,67,,2,38,63,2,5,0,88,1.36986301369863,34.089999999999975,101,5.0,0.1875
Good,60,429,29,155,13,0,94,3,2,16,0,25,0.0,0,4,46,3,1,0,71,1.36986301369863,29.21999999999997,50,1.0,0.0
Bad,66,109,7,52,3,2,80,6,6,5,1,40,0.0,4,27,46,3,1,0,100,0.398406374501992,97.39999999999998,73,1.0,0.6000000000000001
Good,89,328,17,132,34,0,97,6,6,35,0,14,0.0,0,1,46,3,2,0,31,0.398406374501992,14.610000000000014,47,2.0,0.0
Good,79,172,6,47,20,0,100,7,8,20,1,55,7.0,0,9,49,3,5,0,67,0.2145922746781116,0.0,58,5.0,0.05
Bad,77,291,3,116,14,0,100,7,8,14,1,36,0.0,6,45,69,6,3,2,75,0.2145922746781116,0.0,114,3.0,0.07142857142857142
Good,86,208,3,96,38,0,100,7,8,38,2,8,0.0,0,0,46,1,1,0,13,0.2145922746781116,0.0,46,1.0,0.05263157894736842
Bad,61,188,10,83,41,0,98,4,6,41,1,37,0.0,1,24,81,1,4,1,44,0.398406374501992,9.740000000000009,105,4.0,0.024390243902439025
Bad,57,390,9,102,58,1,80,2,4,38,3,23,9.0,0,65,68,13,3,6,58,3.7037037037037033,97.39999999999998,133,3.0,0.10526315789473684
Good,71,75,2,29,14,0,100,7,8,16,3,25,0.0,1,48,91,3,2,1,100,0.2145922746781116,0.0,139,2.0,0.1875
Bad,55,179,1,75,22,0,83,4,5,24,1,29,0.0,1,57,46,8,2,3,64,1.0752688172043012,82.78999999999996,103,2.0,0.041666666666666664
Bad,65,142,3,69,15,0,93,4,6,15,1,27,0.0,0,25,46,4,1,3,50,0.398406374501992,34.089999999999975,71,1.0,0.06666666666666667
Good,84,204,8,72,16,0,100,7,8,17,1,59,0.0,0,23,54,2,2,0,67,0.2145922746781116,0.0,77,2.0,0.058823529411764705
Bad,69,362,5,125,16,0,82,6,6,17,1,47,0.0,2,63,46,4,1,3,71,0.398406374501992,87.65999999999997,109,1.0,0.058823529411764705
Good,75,139,3,54,14,0,94,6,6,16,2,19,0.0,1,43,33,1,2,1,43,0.398406374501992,29.21999999999997,76,2.0,0.125
Good,92,233,25,152,35,0,100,7,8,36,0,11,0.0,0,0,46,2,1,0,38,0.2145922746781116,0.0,46,1.0,0.0
Good,67,145,3,58,31,1,94,4,2,32,4,56,3.0,2,18,62,5,6,1,79,1.36986301369863,29.21999999999997,80,6.0,0.15625
Good,82,115,5,57,19,0,95,6,5,21,2,24,0.0,6,9,46,2,2,0,20,1.0752688172043012,24.349999999999966,55,2.0,0.09523809523809523
Good,85,293,20,94,36,0,100,7,8,37,0,38,0.0,0,1,63,2,3,0,56,0.2145922746781116,0.0,64,3.0,0.0
Bad,78,73,19,46,7,0,100,7,8,7,0,43,19.0,0,27,46,3,1,0,100,0.2145922746781116,0.0,73,1.0,0.0
Bad,66,425,3,63,12,0,79,6,5,14,3,36,0.0,0,23,92,6,2,1,100,1.0752688172043012,102.26999999999998,115,2.0,0.21428571428571427
Good,81,303,17,103,6,0,86,6,6,7,0,14,0.0,0,26,46,1,1,0,40,0.398406374501992,68.18,72,1.0,0.0
Bad,69,130,2,60,13,1,82,6,2,18,1,53,0.0,3,6,60,3,4,1,88,1.36986301369863,87.65999999999997,66,4.0,0.1111111111111111
Bad,57,162,7,56,15,0,87,4,6,15,1,27,0.0,0,85,46,3,1,2,100,0.398406374501992,63.31,131,1.0,0.06666666666666667
Good,83,83,22,80,7,0,100,7,8,11,0,29,2.0,1,30,43,2,1,0,75,0.2145922746781116,0.0,73,1.0,0.0
Bad,65,109,6,45,7,1,86,6,6,8,2,57,0.0,0,79,93,2,1,1,100,0.398406374501992,68.18,172,1.0,0.375
Bad,67,212,4,79,18,0,100,7,8,18,5,22,0.0,3,81,30,7,1,5,82,0.2145922746781116,0.0,111,1.0,0.2777777777777778
Good,71,155,1,71,24,0,100,7,8,25,3,32,3.0,3,54,46,3,1,1,100,0.2145922746781116,0.0,100,1.0,0.12
Bad,56,102,4,52,32,0,94,6,6,11,1,22,0.0,4,69,89,6,5,3,55,0.398406374501992,29.21999999999997,158,5.0,0.09090909090909091
Bad,82,163,4,71,25,0,100,6,8,28,4,29,0.0,0,18,98,4,2,0,55,0.2145922746781116,0.0,116,1.9999999999999998,0.14285714285714285
Good,86,174,5,68,12,0,92,6,6,12,2,17,0.0,1,1,73,2,1,0,38,0.398406374501992,38.95999999999998,74,1.0,0.16666666666666666
Bad,73,167,2,87,9,0,90,6,6,10,1,80,0.0,3,27,99,3,2,0,100,0.398406374501992,48.69999999999999,126,2.0,0.1
Good,89,342,25,110,8,0,100,7,8,8,0,63,0.0,0,0,46,0,2,0,0,0.2145922746781116,0.0,46,2.0,0.0
Good,64,161,6,90,15,1,76,6,2,17,3,24,0.0,1,66,46,3,2,1,57,1.36986301369863,116.88,112,2.0,0.23529411764705882
Bad,72,151,12,63,39,0,86,4,5,44,0,66,0.0,1,11,46,1,1,0,33,1.0752688172043012,68.18,57,1.0,0.0
Good,76,135,3,54,25,0,96,6,6,25,2,40,5.0,2,12,79,3,5,0,53,0.398406374501992,19.480000000000018,91,5.0,0.08
Bad,72,136,13,74,3,1,75,6,6,4,0,25,0.0,3,0,46,0,2,0,0,0.398406374501992,121.75,46,2.0,0.25
Bad,72,187,12,62,51,1,96,1,3,53,0,25,0.0,1,32,42,5,2,1,28,3.571428571428571,19.480000000000018,74,2.0,0.018867924528301886
Good,90,274,11,106,32,0,100,7,8,33,1,21,12.0,0,2,87,1,1,0,20,0.2145922746781116,0.0,89,1.0,0.030303030303030304
Good,72,233,6,98,36,0,100,7,8,38,2,34,0.0,1,63,46,5,1,2,55,0.2145922746781116,0.0,109,1.0,0.05263157894736842
Good,84,93,4,37,7,0,100,7,8,7,4,29,,3,16,46,2,1,0,75,0.2145922746781116,0.0,62,1.0,0.5714285714285714
Good,65,195,3,80,46,0,98,3,5,49,3,63,2.0,2,93,102,4,2,2,60,1.0752688172043012,9.740000000000009,195,2.0,0.061224489795918366
Good,66,311,9,84,32,1,100,7,8,33,3,39,,0,48,64,9,5,1,74,0.2145922746781116,0.0,112,5.0,0.12121212121212122
Bad,61,129,7,54,24,0,100,7,8,24,3,17,,2,31,86,10,2,4,92,0.2145922746781116,0.0,117,2.0,0.125
Bad,77,46,5,27,7,0,100,7,8,7,2,43,0.0,1,0,96,0,2,0,67,0.2145922746781116,0.0,96,2.0,0.2857142857142857
Bad,63,134,14,58,6,1,100,6,8,6,0,33,6.0,0,94,100,3,1,1,80,0.2145922746781116,0.0,194,1.0,0.16666666666666666
Good,86,227,9,103,32,0,100,7,8,35,2,28,14.0,0,14,16,3,2,0,42,0.2145922746781116,0.0,30,2.0,0.05714285714285714
Bad,62,353,2,119,27,1,86,4,6,29,6,41,0.0,2,37,99,8,7,1,89,0.398406374501992,68.18,136,7.0,0.24137931034482757
Good,77,237,5,78,27,0,100,7,8,27,2,11,15.0,0,35,46,5,1,2,67,0.2145922746781116,0.0,81,1.0,0.07407407407407407
Bad,67,246,2,58,17,1,95,6,3,19,7,37,1.0,2,60,95,5,3,1,73,3.571428571428571,24.349999999999966,155,3.0,0.42105263157894735
Good,86,194,13,73,8,0,100,7,8,8,0,75,0.0,0,6,14,2,2,0,100,0.2145922746781116,0.0,20,2.0,0.0
Good,82,254,12,84,29,0,97,6,6,29,0,34,0.0,0,7,55,3,3,0,58,0.398406374501992,14.610000000000014,62,3.0,0.0
Bad,68,215,3,60,28,0,96,6,6,28,5,14,,4,59,64,4,3,3,35,0.398406374501992,19.480000000000018,123,3.0,0.17857142857142858
Bad,65,148,1,64,42,0,82,4,5,45,4,60,1.0,4,13,65,3,8,2,75,1.0752688172043012,87.65999999999997,78,8.0,0.08888888888888889
Good,89,351,5,79,12,0,100,7,8,12,2,58,0.0,0,4,85,2,3,0,83,0.2145922746781116,0.0,89,3.0,0.16666666666666666
Good,80,270,18,128,32,0,100,7,8,32,0,38,0.0,0,25,31,3,6,1,77,0.2145922746781116,0.0,56,6.0,0.0
Bad,64,331,6,93,30,0,83,4,6,32,2,23,,5,3,89,3,3,1,40,0.398406374501992,82.78999999999996,92,3.0,0.0625
Bad,63,231,1,65,32,0,100,7,8,34,5,38,1.0,3,52,85,8,5,4,68,0.2145922746781116,0.0,137,5.0,0.14705882352941177
Good,83,217,1,73,34,0,100,7,8,39,2,21,1.0,1,7,48,6,2,1,57,0.2145922746781116,0.0,55,2.0,0.05128205128205128
Good,78,306,1,80,19,0,90,6,6,20,3,40,0.0,1,9,46,6,1,0,64,0.398406374501992,48.69999999999999,55,1.0,0.15
Bad,63,76,9,31,4,1,80,6,4,5,1,20,0.0,1,84,46,4,2,3,100,3.7037037037037033,97.39999999999998,130,2.0,0.4
Bad,67,136,28,85,14,0,86,6,6,14,0,43,0.0,1,97,46,4,1,4,100,0.398406374501992,68.18,143,1.0,0.0
Good,74,148,16,83,22,0,100,7,8,23,0,57,1.0,4,66,57,2,10,0,92,0.2145922746781116,0.0,123,10.0,0.0
Good,74,462,5,66,20,0,90,6,6,27,2,20,4.0,2,41,46,4,1,2,83,0.398406374501992,48.69999999999999,87,1.0,0.07407407407407407
Good,82,289,7,71,20,0,100,7,8,14,3,45,6.0,0,19,46,3,1,0,57,0.2145922746781116,0.0,65,1.0,0.21428571428571427
Good,74,183,10,44,12,0,100,7,8,12,1,33,6.0,1,39,46,2,1,1,75,0.2145922746781116,0.0,85,1.0,0.08333333333333333
Good,72,206,3,75,49,0,100,7,8,49,6,35,6.0,0,56,67,7,3,2,83,0.2145922746781116,0.0,123,3.0,0.12244897959183673
Bad,64,175,7,72,23,0,100,7,8,24,1,13,0.0,2,77,75,10,1,6,71,0.2145922746781116,0.0,152,1.0,0.041666666666666664
Good,65,494,6,99,39,1,100,6,8,39,1,46,0.0,4,27,92,8,6,1,88,0.2145922746781116,0.0,119,6.0,0.05128205128205128
Good,87,220,22,143,28,0,100,7,8,30,0,27,0.0,0,13,46,4,1,0,71,0.2145922746781116,0.0,59,1.0,0.0
Good,65,228,7,89,12,2,93,6,3,15,2,57,0.0,1,92,46,1,1,1,100,3.571428571428571,34.089999999999975,138,1.0,0.26666666666666666
Bad,61,187,8,95,18,1,82,4,3,22,2,18,0.0,1,21,46,5,1,0,86,3.571428571428571,87.65999999999997,67,1.0,0.13636363636363635
Bad,65,13,4,8,3,1,100,6,8,3,2,67,,0,72,98,1,2,0,100,0.2145922746781116,0.0,170,1.9999999999999998,1.0
Bad,72,274,4,105,10,1,100,0,8,12,1,45,0.0,1,24,76,3,2,0,71,0.2145922746781116,0.0,100,2.0,0.16666666666666666
Bad,65,321,6,114,27,1,82,5,3,28,3,32,0.0,0,66,46,6,1,1,88,3.571428571428571,87.65999999999997,112,1.0,0.14285714285714285
Good,87,174,1,73,4,0,100,7,8,5,2,40,0.0,1,9,46,1,1,0,67,0.2145922746781116,0.0,55,1.0,0.4
Bad,74,97,1,39,11,0,92,6,5,14,6,31,,0,36,46,4,1,0,63,1.0752688172043012,38.95999999999998,82,1.0,0.42857142857142855
Bad,69,192,2,106,27,1,88,5,4,32,5,53,,2,15,23,4,4,0,67,3.7037037037037033,58.44,38,4.0,0.1875
Bad,69,51,13,27,8,0,88,5,7,8,0,50,,2,46,81,2,2,1,80,6.666666666666667,58.44,127,2.0,0.0
Bad,65,221,1,90,28,2,94,6,6,33,6,48,0.0,4,9,67,3,2,0,56,0.398406374501992,29.21999999999997,76,2.0,0.24242424242424243
Bad,63,153,1,106,9,4,67,6,2,15,1,47,,2,0,100,0,1,0,50,1.36986301369863,160.70999999999998,100,1.0,0.3333333333333333
Bad,77,124,1,52,19,0,100,7,8,22,4,45,0.0,4,30,95,1,4,1,71,0.2145922746781116,0.0,125,4.0,0.18181818181818182
Good,90,217,32,90,27,0,100,7,8,10,0,30,0.0,1,1,46,4,1,0,63,0.2145922746781116,0.0,47,1.0,0.0
Bad,65,23,4,15,9,0,100,7,8,9,3,67,1.0,3,84,76,2,6,2,89,0.2145922746781116,0.0,160,6.0,0.3333333333333333
Good,72,148,5,67,44,0,96,6,6,47,5,33,0.0,2,14,46,5,5,0,73,0.398406374501992,19.480000000000018,60,5.0,0.10638297872340426
Bad,77,127,2,62,11,0,100,7,8,10,1,25,,3,28,43,3,2,1,83,0.2145922746781116,0.0,71,2.0,0.1
Bad,74,111,2,37,8,0,100,7,8,9,2,22,0.0,4,49,73,5,2,1,88,0.2145922746781116,0.0,122,2.0,0.2222222222222222
Bad,66,183,17,62,28,0,100,7,8,29,0,28,12.0,0,86,54,8,2,8,91,0.2145922746781116,0.0,140,2.0,0.0
Bad,62,137,5,81,9,4,62,6,4,13,1,38,0.0,1,46,46,2,1,1,100,3.7037037037037033,185.06,92,1.0,0.38461538461538464
Good,78,185,12,63,13,0,100,7,8,13,0,31,0.0,0,45,46,8,1,2,100,0.2145922746781116,0.0,91,1.0,0.0
Good,79,364,35,111,22,0,100,7,8,31,0,27,0.0,0,93,51,1,2,1,75,0.2145922746781116,0.0,144,2.0,0.0
Bad,81,128,5,58,7,0,100,7,8,7,1,43,1.0,1,31,81,1,2,1,50,0.2145922746781116,0.0,112,2.0,0.14285714285714285
Bad,85,249,6,100,13,0,100,7,8,15,1,47,0.0,2,29,75,1,3,0,80,0.2145922746781116,0.0,104,3.0,0.06666666666666667
Bad,64,212,6,76,7,4,64,4,3,11,2,55,8.0,0,56,86,1,2,0,75,3.571428571428571,175.32,142,2.0,0.5454545454545454
Bad,71,200,8,74,35,0,97,6,6,39,3,56,0.0,0,82,92,4,6,3,91,0.398406374501992,14.610000000000014,174,6.0,0.07692307692307693
Good,78,119,7,50,16,0,94,6,6,16,1,38,0.0,1,9,82,2,4,0,75,0.398406374501992,29.21999999999997,91,4.0,0.0625
Bad,70,83,7,48,7,0,88,6,5,8,1,13,2.0,1,38,46,3,1,0,67,1.0752688172043012,58.44,84,1.0,0.125
Good,74,304,10,78,18,0,89,6,6,23,1,53,3.0,2,7,54,3,3,0,67,0.398406374501992,53.56999999999999,61,3.0,0.043478260869565216
Good,76,52,12,31,6,0,100,7,8,7,0,57,0.0,0,5,90,2,2,0,80,0.2145922746781116,0.0,95,2.0,0.0
Good,83,227,13,95,18,0,100,7,8,19,0,37,0.0,0,26,33,2,2,0,50,0.2145922746781116,0.0,59,2.0,0.0
Good,75,179,3,60,29,1,97,6,2,0,2,3,3.0,1,1,46,4,1,0,28,1.36986301369863,14.610000000000014,47,1.0,inf
Good,78,164,10,82,15,0,100,7,8,16,1,38,0.0,0,56,69,3,2,0,83,0.2145922746781116,0.0,125,2.0,0.0625
Bad,64,111,3,35,15,2,100,7,8,17,2,33,0.0,1,70,97,4,3,0,78,0.2145922746781116,0.0,167,3.0,0.23529411764705882
Bad,60,199,9,53,23,0,74,4,6,23,1,17,0.0,1,36,88,11,3,1,70,0.398406374501992,126.62,124,3.0,0.043478260869565216
Good,72,258,1,69,25,0,97,6,6,31,5,23,,2,57,46,4,1,1,45,0.398406374501992,14.610000000000014,103,1.0,0.16129032258064516
Bad,66,179,8,77,16,1,88,6,6,0,2,13,,1,43,46,3,1,1,63,0.398406374501992,58.44,89,1.0,inf
Bad,58,274,11,144,9,0,64,4,5,11,1,36,0.0,3,68,15,2,3,1,100,1.0752688172043012,175.32,83,3.0,0.09090909090909091
Good,80,319,9,111,18,0,100,7,8,22,1,50,0.0,0,73,46,5,1,0,86,0.2145922746781116,0.0,119,1.0,0.045454545454545456
Good,75,278,75,123,6,0,83,6,6,6,0,17,0.0,1,7,46,2,2,0,75,0.398406374501992,82.78999999999996,53,2.0,0.0
Good,79,185,1,56,39,0,100,7,8,40,5,38,0.0,1,1,70,3,3,0,50,0.2145922746781116,0.0,71,3.0,0.125
Good,74,145,4,76,16,0,88,6,6,17,1,47,0.0,0,28,94,4,1,1,100,0.398406374501992,58.44,122,1.0,0.058823529411764705
Good,89,165,12,71,19,0,100,7,8,21,0,43,0.0,0,13,46,1,1,0,50,0.2145922746781116,0.0,59,1.0,0.0
Good,74,63,4,41,12,0,100,7,8,12,3,42,0.0,3,26,80,3,3,0,75,0.2145922746781116,0.0,106,3.0,0.25
Good,74,76,4,47,19,0,100,7,8,21,2,33,0.0,0,0,79,1,7,0,57,0.2145922746781116,0.0,79,7.0,0.09523809523809523
Bad,63,176,3,69,10,9,77,6,2,20,1,46,0.0,2,89,46,3,1,1,100,1.36986301369863,112.00999999999999,135,1.0,0.5
Good,90,233,14,100,20,0,100,7,8,20,0,35,0.0,0,10,46,4,3,0,54,0.2145922746781116,0.0,56,3.0,0.0
Bad,73,94,3,49,21,0,95,6,6,22,2,36,0.0,2,42,47,3,2,1,56,0.398406374501992,24.349999999999966,89,2.0,0.09090909090909091
Good,78,84,2,25,11,0,92,6,5,13,1,15,2.0,4,2,77,1,1,0,20,1.0752688172043012,38.95999999999998,79,1.0,0.07692307692307693
Bad,77,221,0,64,31,0,94,6,6,36,4,51,,1,9,88,3,6,0,45,0.398406374501992,29.21999999999997,97,6.0,0.1111111111111111
Bad,72,172,1,62,14,0,93,4,6,15,1,60,0.0,2,24,61,4,4,1,89,0.398406374501992,34.089999999999975,85,4.0,0.06666666666666667
Good,79,187,8,52,13,0,92,6,6,20,3,54,8.0,0,2,93,1,3,0,57,0.398406374501992,38.95999999999998,95,3.0,0.15
Good,90,179,13,86,12,0,100,7,8,12,0,25,0.0,4,0,46,2,1,0,50,0.2145922746781116,0.0,46,1.0,0.0
Bad,65,101,2,25,7,1,100,6,8,8,3,50,0.0,12,35,99,2,2,1,80,0.2145922746781116,0.0,134,2.0,0.5
Good,70,204,20,114,27,0,85,4,6,27,0,19,0.0,0,8,46,2,1,0,50,0.398406374501992,73.05000000000001,54,1.0,0.0
Good,70,411,3,95,70,0,99,6,6,72,5,12,2.0,1,23,64,8,2,2,37,0.398406374501992,4.8700000000000045,87,2.0,0.06944444444444445
